Test,Element,LOQ_filter,LOQ_wipe,TLV_filter,TLV_wipe
Silver,Ag,0.25,0.5,1,1
Aluminum,Al,19,38,1,100
Arsenic,As,0.56,5,0.01,1
Gold,Au,0.28,0.56,1,1
Boron,B,1.1,4,1,1
Barium,Ba,0.34,1.2,1,1
Beryllium,Be,0.015,0.035,0.00005,0.2
Bismuth,Bi,0.48,5,1,1
Calcium,Ca,7.9,120,1.43,1000
Cadmium,Cd,0.1,0.33,0.01,1
Cesium,Ce,0.18,0.36,1,1
Cobalt,Co,0.1,0.2,0.02,2
Chromium,Cr,1,2,0.5,50
Copper,Cu,1.4,3.6,0.2,100
Iron,Fe,3,8,5,350
Gallium,Ga,0.23,0.46,1,1
Germanium,Ge,0.38,3.7,1,1
Hafnium,Hf,0.081,0.16,1,1
Mercury,Hg,0.12,0.24,1,1
Indium,In,1.5,3,1,1
Potassium,K,12,24,1,1
Lanthanum,La,0.056,0.11,1,1
Lithium,Li,0.051,0.1,1,1
Magnesium,Mg,0.53,160,10,600
Manganese,Mn,0.25,1.5,0.02,2
Molybdenum,Mo,0.1,0.31,0.5,50
Sodium,Na,6.9,14,1,1
Nickel,Ni,0.2,0.4,0.1,100
Phosphorus,P,3.3,6.6,1,1
Lead,Pb,0.25,0.5,0.05,4.3
Palladium,Pd,0.32,0.64,1,1
Platinum,Pt,0.25,3.2,1,1
Rhodium,Rh,0.49,0.6,1,1
Sulfur,S,5,10,1,1
Antimony,Sb,0.51,2,0.5,50
Selenium,Se,1,9.8,0.2,1
Silicon,Si,5,10,1,1
Tin,Sn,0.52,1.6,2,200
Strontium,Sr,0.052,1.2,1,1
Tantalum,Ta,0.19,0.38,1,1
Tellurium,Te,0.54,1.1,1,1
Titanium,Ti,0.2,0.4,10,750
Thallium,Tl,1,4.1,0.1,10
Vanadium,V,0.1,0.2,0.1,2.8
Tungstun,W,0.22,0.44,1,1
Yttrium,Y,0.025,0.05,1,1
Zinc,Zn,1.1,120,2,160
Zirconium,Zr,0.14,0.28,1,1
